destination,state,region,lat,lon,vibe,emotion_tags,landscape,best_season,activities,nearby_attractions,description
Jog Falls,Karnataka,South,14.05,75.16,interesting scenic engaging,interesting scenic engaging,Waterfall in Tropical climate,Year-round,"Sightseeing, Walking, Photography","Vidhana Soudha, Coorg Coffee Estates, Bannerghatta Park","Jog Falls is a renowned waterfall located in karnataka (South). Experiencing a tropical climate, it offers a interesting scenic engaging atmosphere. It is well-suited for a low budget and holds a popularity score of 2.852 out of 5."
Panambur Beach,Karnataka,South,12.91723,74.85603,relaxing sunny tropical calm,relaxing sunny calm,Beach in Tropical climate,Year-round,"Sightseeing, Walking, Photography","Brindavan Gardens, Chamundi Hill, Bannerghatta Park","Panambur Beach is a renowned beach located in karnataka (South). Experiencing a tropical climate, it offers a relaxing sunny tropical calm atmosphere. It is well-suited for a low budget and holds a popularity score of 2.74 out of 5."
Murudeshwar Temple,Karnataka,South,14.0943,74.4845,spiritual calm devoted peaceful,spiritual calm devoted peaceful,Temple in Tropical climate,Year-round,"Praying, Meditation, Sightseeing","Lalbagh Botanical Garden, Bangalore Palace, Coorg Coffee Estates","Murudeshwar Temple is a renowned temple located in karnataka (South). Experiencing a tropical climate, it offers a spiritual calm devoted peaceful atmosphere. It is well-suited for a low budget and holds a popularity score of 3.016 out of 5."
Gol Gumbaz,Karnataka,South,18.84322,80.7761,interesting scenic engaging,interesting scenic engaging,Mausoleum in Tropical climate,Year-round,"Sightseeing, Walking, Photography","Mysore Palace, Bannerghatta Park, Lalbagh Botanical Garden","Gol Gumbaz is a renowned mausoleum located in karnataka (South). Experiencing a tropical climate, it offers a interesting scenic engaging atmosphere. It is well-suited for a low budget and holds a popularity score of 2.8 out of 5."
Bandipur National Park,Karnataka,South,34.41728,74.64308,wildlife adventurous green,wildlife adventurous green,National Park in Tropical climate,Year-round,"Sightseeing, Walking, Photography","Lalbagh Botanical Garden, Nandi Hills, Cubbon Park","Bandipur National Park is a renowned national park located in karnataka (South). Experiencing a tropical climate, it offers a wildlife adventurous green atmosphere. It is well-suited for a medium budget and holds a popularity score of 2.7 out of 5."
Halebidu Hoysaleswara Temple,Karnataka,South,15.3173,75.7139,spiritual calm devoted peaceful,spiritual calm devoted peaceful,Temple in Tropical climate,Year-round,"Praying, Meditation, Sightseeing","Coorg Coffee Estates, Bannerghatta Park, Cubbon Park","Halebidu Hoysaleswara Temple is a renowned temple located in karnataka (South). Experiencing a tropical climate, it offers a spiritual calm devoted peaceful atmosphere. It is well-suited for a low budget and holds a popularity score of 2.864 out of 5."
Shaniwar Wada,Maharashtra,West,18.51957,73.85535,historic majestic grand,historic majestic grand,Fort in Warm climate,Year-round,"Heritage walk, Photography, Exploring","Botanical Gardens, Spiritual Centers, Old City Quarters","Shaniwar Wada is a renowned fort located in maharastra (West). Experiencing a warm climate, it offers a historic majestic grand atmosphere. It is well-suited for a low budget and holds a popularity score of 3.12 out of 5."
Ajanta Caves,Maharashtra,West,20.5519,75.7033,interesting scenic engaging,interesting scenic engaging,Cave in Warm climate,Year-round,"Sightseeing, Walking, Photography","Spiritual Centers, Local Heritage Museum, Traditional Bazaars","Ajanta Caves is a renowned cave located in maharastra (West). Experiencing a warm climate, it offers a interesting scenic engaging atmosphere. It is well-suited for a low budget and holds a popularity score of 2.844 out of 5."
Sula Vineyards,Maharashtra,West,19.99727,73.79096,interesting scenic engaging,interesting scenic engaging,Vineyard in Warm climate,Year-round,"Sightseeing, Walking, Photography","Street Food Alleys, Spiritual Centers, City Central Park","Sula Vineyards is a renowned vineyard located in maharastra (West). Experiencing a warm climate, it offers a interesting scenic engaging atmosphere. It is well-suited for a medium budget and holds a popularity score of 2.5 out of 5."
Sai Baba Temple,Maharashtra,West,19.76616,74.47738,spiritual calm devoted peaceful,spiritual calm devoted peaceful,Temple in Warm climate,Year-round,"Praying, Meditation, Sightseeing","Old City Quarters, City Central Park, Local Heritage Museum","Sai Baba Temple is a renowned temple located in maharastra (West). Experiencing a warm climate, it offers a spiritual calm devoted peaceful atmosphere. It is well-suited for a low budget and holds a popularity score of 3.096 out of 5."
Alibaug Beach,Maharashtra,West,18.64813,72.87579,relaxing sunny tropical calm,relaxing sunny calm,Beach in Warm climate,Year-round,"Sightseeing, Walking, Photography","Regional Art Gallery, Street Food Alleys, Local Heritage Museum","Alibaug Beach is a renowned beach located in maharastra (West). Experiencing a warm climate, it offers a relaxing sunny tropical calm atmosphere. It is well-suited for a low budget and holds a popularity score of 2.54 out of 5."
Ganapatipule Temple,Maharashtra,West,17.0,73.5,spiritual calm devoted peaceful,spiritual calm devoted peaceful,Temple in Warm climate,Year-round,"Praying, Meditation, Sightseeing","Street Food Alleys, Historical Monuments, Spiritual Centers","Ganapatipule Temple is a renowned temple located in maharastra (West). Experiencing a warm climate, it offers a spiritual calm devoted peaceful atmosphere. It is well-suited for a low budget and holds a popularity score of 2.86 out of 5."
Deekshabhoomi,Maharashtra,West,21.14631,79.08491,interesting scenic engaging,interesting scenic engaging,Monument in Warm climate,Year-round,"Sightseeing, Walking, Photography","Traditional Bazaars, Street Food Alleys, Old City Quarters","Deekshabhoomi is a renowned monument located in maharastra (West). Experiencing a warm climate, it offers a interesting scenic engaging atmosphere. It is well-suited for a low budget and holds a popularity score of 2.744 out of 5."
Mahalakshmi Temple,Maharashtra,West,16.69013,74.22981,spiritual calm devoted peaceful,spiritual calm devoted peaceful,Temple in Warm climate,Year-round,"Praying, Meditation, Sightseeing","Handicraft Markets, City Central Park, Historical Monuments","Mahalakshmi Temple is a renowned temple located in maharastra (West). Experiencing a warm climate, it offers a spiritual calm devoted peaceful atmosphere. It is well-suited for a low budget and holds a popularity score of 3.24 out of 5."
Karla Caves,Maharashtra,West,18.75275,73.40575,interesting scenic engaging,interesting scenic engaging,Cave in Warm climate,Year-round,"Sightseeing, Walking, Photography","City Central Park, Handicraft Markets, Old City Quarters","Karla Caves is a renowned cave located in maharastra (West). Experiencing a warm climate, it offers a interesting scenic engaging atmosphere. It is well-suited for a low budget and holds a popularity score of 2.748 out of 5."
Tarkarli Beach,Maharashtra,West,19.7515,75.7139,relaxing sunny tropical calm,relaxing sunny calm,Beach in Warm climate,Year-round,"Sightseeing, Walking, Photography","Gateway of India, Colaba Causeway, Siddhivinayak Temple","Tarkarli Beach is a renowned beach located in maharashtra (West). Experiencing a warm climate, it offers a relaxing sunny tropical calm atmosphere. It is well-suited for a low budget and holds a popularity score of 2.786 out of 5."
Kaas Plateau,Maharashtra,West,17.68589,73.99333,interesting scenic engaging,interesting scenic engaging,Valley in Warm climate,Year-round,"Sightseeing, Walking, Photography","Lonavala Viewpoints, Bandra Bandstand, Aga Khan Palace","Kaas Plateau is a renowned valley located in maharashtra (West). Experiencing a warm climate, it offers a interesting scenic engaging atmosphere. It is well-suited for a medium budget and holds a popularity score of 2.66 out of 5."
Echo Point,Maharashtra,West,18.98281,73.2652,interesting scenic engaging,interesting scenic engaging,Viewpoint in Warm climate,Year-round,"Sightseeing, Walking, Photography","Shaniwar Wada, Elephanta Caves, Juhu Beach","Echo Point is a renowned viewpoint located in maharashtra (West). Experiencing a warm climate, it offers a interesting scenic engaging atmosphere. It is well-suited for a low budget and holds a popularity score of 2.648 out of 5."
Ellora Caves,Maharashtra,West,19.7515,75.7139,interesting scenic engaging,interesting scenic engaging,Cave in Warm climate,Year-round,"Sightseeing, Walking, Photography","Colaba Causeway, Shaniwar Wada, Marine Drive","Ellora Caves is a renowned cave located in maharashtra (West). Experiencing a warm climate, it offers a interesting scenic engaging atmosphere. It is well-suited for a low budget and holds a popularity score of 3.016 out of 5."
Khajuraho Group of Monuments,Madhya Pradesh,Central,22.9734,78.6569,interesting scenic engaging,interesting scenic engaging,Temples in Warm climate,Year-round,"Sightseeing, Walking, Photography","Old City Quarters, Local Heritage Museum, Botanical Gardens","Khajuraho Group of Monuments is a renowned temples located in madhya pradesh (Central). Experiencing a warm climate, it offers a interesting scenic engaging atmosphere. It is well-suited for a low budget and holds a popularity score of 2.856 out of 5."
Sanchi Stupa,Madhya Pradesh,Central,23.25469,77.40289,interesting scenic engaging,interesting scenic engaging,Monument in Warm climate,Year-round,"Sightseeing, Walking, Photography","Historical Monuments, Handicraft Markets, Botanical Gardens","Sanchi Stupa is a renowned monument located in madhya pradesh (Central). Experiencing a warm climate, it offers a interesting scenic engaging atmosphere. It is well-suited for a low budget and holds a popularity score of 2.824 out of 5."
Rajwada Palace,Madhya Pradesh,Central,22.66667,75.75,interesting scenic engaging,interesting scenic engaging,Palace in Warm climate,Year-round,"Sightseeing, Walking, Photography","Street Food Alleys, Regional Art Gallery, Historical Monuments","Rajwada Palace is a renowned palace located in madhya pradesh (Central). Experiencing a warm climate, it offers a interesting scenic engaging atmosphere. It is well-suited for a low budget and holds a popularity score of 2.8920000000000003 out of 5."
Gwalior Fort,Madhya Pradesh,Central,26.22983,78.17337,historic majestic grand,historic majestic grand,Fort in Warm climate,Year-round,"Heritage walk, Photography, Exploring","Historical Monuments, Local Heritage Museum, Handicraft Markets","Gwalior Fort is a renowned fort located in madhya pradesh (Central). Experiencing a warm climate, it offers a historic majestic grand atmosphere. It is well-suited for a low budget and holds a popularity score of 2.86 out of 5."
Mahakaleshwar Jyotirlinga,Madhya Pradesh,Central,23.41667,75.5,spiritual calm devoted peaceful,spiritual calm devoted peaceful,Temple in Warm climate,Year-round,"Praying, Meditation, Sightseeing","Old City Quarters, Street Food Alleys, Regional Art Gallery","Mahakaleshwar Jyotirlinga is a renowned temple located in madhya pradesh (Central). Experiencing a warm climate, it offers a spiritual calm devoted peaceful atmosphere. It is well-suited for a low budget and holds a popularity score of 3.36 out of 5."
Dhuandhar Falls,Madhya Pradesh,Central,23.16,79.95,interesting scenic engaging,interesting scenic engaging,Waterfall in Warm climate,Year-round,"Sightseeing, Walking, Photography","Traditional Bazaars, Regional Art Gallery, Street Food Alleys","Dhuandhar Falls is a renowned waterfall located in madhya pradesh (Central). Experiencing a warm climate, it offers a interesting scenic engaging atmosphere. It is well-suited for a low budget and holds a popularity score of 2.704 out of 5."
Bee Falls,Madhya Pradesh,Central,22.46791,78.43312,interesting scenic engaging,interesting scenic engaging,Waterfall in Warm climate,Year-round,"Sightseeing, Walking, Photography","Spiritual Centers, Old City Quarters, Street Food Alleys","Bee Falls is a renowned waterfall located in madhya pradesh (Central). Experiencing a warm climate, it offers a interesting scenic engaging atmosphere. It is well-suited for a low budget and holds a popularity score of 2.786 out of 5."
Kanha National Park,Madhya Pradesh,Central,22.9734,78.6569,interesting scenic engaging,interesting scenic engaging,Wildlife Sanctuary in Warm climate,Year-round,"Sightseeing, Walking, Photography","Local Heritage Museum, Traditional Bazaars, Regional Art Gallery","Kanha National Park is a renowned wildlife sanctuary located in madhya pradesh (Central). Experiencing a warm climate, it offers a interesting scenic engaging atmosphere. It is well-suited for a medium budget and holds a popularity score of 2.74 out of 5."
Bandhavgarh National Park,Madhya Pradesh,Central,22.9734,78.6569,wildlife adventurous green,wildlife adventurous green,National Park in Warm climate,Year-round,"Sightseeing, Walking, Photography","City Central Park, Regional Art Gallery, Local Heritage Museum","Bandhavgarh National Park is a renowned national park located in madhya pradesh (Central). Experiencing a warm climate, it offers a wildlife adventurous green atmosphere. It is well-suited for a low budget and holds a popularity score of 2.72 out of 5."
Orchha Fort,Madhya Pradesh,Central,25.35192,78.64033,historic majestic grand,historic majestic grand,Fort in Warm climate,Year-round,"Heritage walk, Photography, Exploring","Traditional Bazaars, Old City Quarters, Street Food Alleys","Orchha Fort is a renowned fort located in madhya pradesh (Central). Experiencing a warm climate, it offers a historic majestic grand atmosphere. It is well-suited for a low budget and holds a popularity score of 2.92 out of 5."
Jahaz Mahal,Madhya Pradesh,Central,22.9734,78.6569,interesting scenic engaging,interesting scenic engaging,Site in Warm climate,Year-round,"Sightseeing, Walking, Photography","Street Food Alleys, Old City Quarters, Traditional Bazaars","Jahaz Mahal is a renowned site located in madhya pradesh (Central). Experiencing a warm climate, it offers a interesting scenic engaging atmosphere. It is well-suited for a low budget and holds a popularity score of 2.352 out of 5."
Bhimbetka Rock Shelters,Madhya Pradesh,Central,22.9734,78.6569,interesting scenic engaging,interesting scenic engaging,Prehistoric Site in Warm climate,Year-round,"Sightseeing, Walking, Photography","Old City Quarters, Historical Monuments, Regional Art Gallery","Bhimbetka Rock Shelters is a renowned prehistoric site located in madhya pradesh (Central). Experiencing a warm climate, it offers a interesting scenic engaging atmosphere. It is well-suited for a low budget and holds a popularity score of 2.788 out of 5."
Narmada Udgam Temple,Madhya Pradesh,Central,22.67486,81.75908,spiritual calm devoted peaceful,spiritual calm devoted peaceful,Temple in Warm climate,Year-round,"Praying, Meditation, Sightseeing","Local Heritage Museum, Old City Quarters, Handicraft Markets","Narmada Udgam Temple is a renowned temple located in madhya pradesh (Central). Experiencing a warm climate, it offers a spiritual calm devoted peaceful atmosphere. It is well-suited for a low budget and holds a popularity score of 2.644 out of 5."
Chitrakoot Falls,Madhya Pradesh,Central,25.20511,81.08962,interesting scenic engaging,interesting scenic engaging,Waterfall in Warm climate,Year-round,"Sightseeing, Walking, Photography","Spiritual Centers, Handicraft Markets, Historical Monuments","Chitrakoot Falls is a renowned waterfall located in madhya pradesh (Central). Experiencing a warm climate, it offers a interesting scenic engaging atmosphere. It is well-suited for a low budget and holds a popularity score of 2.68 out of 5."
The Ridge,Himachal Pradesh,North,31.16667,77.58333,interesting scenic engaging,interesting scenic engaging,Scenic Point in Cold climate,October-March,"Sightseeing, Walking, Photography","Triund Trek, Dalai Lama Temple, Solang Valley","The Ridge is a renowned scenic point located in himachal pradesh (North). Experiencing a cold climate, it offers a interesting scenic engaging atmosphere. It is well-suited for a low budget and holds a popularity score of 2.832 out of 5."
Solang Valley,Himachal Pradesh,North,32.2574,77.17481,interesting scenic engaging,interesting scenic engaging,Valley in Cold climate,October-March,"Sightseeing, Walking, Photography","Dalai Lama Temple, Khajjiar Meadows, Kasol Cafes","Solang Valley is a renowned valley located in himachal pradesh (North). Experiencing a cold climate, it offers a interesting scenic engaging atmosphere. It is well-suited for a low budget and holds a popularity score of 2.4799999999999995 out of 5."
Dalai Lama Temple,Himachal Pradesh,North,32.55219,75.94663,spiritual calm devoted peaceful,spiritual calm devoted peaceful,Temple in Cold climate,October-March,"Praying, Meditation, Sightseeing","Christ Church, Spiti Valley Monasteries, Hadimba Temple","Dalai Lama Temple is a renowned temple located in himachal pradesh (North). Experiencing a cold climate, it offers a spiritual calm devoted peaceful atmosphere. It is well-suited for a low budget and holds a popularity score of 2.88 out of 5."
Khajjiar Lake,Himachal Pradesh,North,32.55219,75.94663,interesting scenic engaging,interesting scenic engaging,Lake in Cold climate,October-March,"Sightseeing, Walking, Photography","Dalai Lama Temple, Christ Church, Hadimba Temple","Khajjiar Lake is a renowned lake located in himachal pradesh (North). Experiencing a cold climate, it offers a interesting scenic engaging atmosphere. It is well-suited for a low budget and holds a popularity score of 2.74 out of 5."
Key Monastery,Himachal Pradesh,North,31.1048,77.1734,interesting scenic engaging,interesting scenic engaging,Monastery in Cold climate,October-March,"Sightseeing, Walking, Photography","Mall Road Shimla, Dalai Lama Temple, Kasol Cafes","Key Monastery is a renowned monastery located in himachal pradesh (North). Experiencing a cold climate, it offers a interesting scenic engaging atmosphere. It is well-suited for a low budget and holds a popularity score of 2.89 out of 5."
Great Himalayan National Park,Himachal Pradesh,North,32.0,77.25,wildlife adventurous green,wildlife adventurous green,National Park in Cold climate,October-March,"Sightseeing, Walking, Photography","Hadimba Temple, Christ Church, Dalai Lama Temple","Great Himalayan National Park is a renowned national park located in himachal pradesh (North). Experiencing a cold climate, it offers a wildlife adventurous green atmosphere. It is well-suited for a low budget and holds a popularity score of 2.78 out of 5."
Chamera Lake,Himachal Pradesh,North,32.57147,76.10229,interesting scenic engaging,interesting scenic engaging,Lake in Cold climate,October-March,"Sightseeing, Walking, Photography","Kasol Cafes, Rohtang Pass, Christ Church","Chamera Lake is a renowned lake located in himachal pradesh (North). Experiencing a cold climate, it offers a interesting scenic engaging atmosphere. It is well-suited for a low budget and holds a popularity score of 2.644 out of 5."
Sangla Valley,Himachal Pradesh,North,31.58333,78.41667,interesting scenic engaging,interesting scenic engaging,Valley in Cold climate,October-March,"Sightseeing, Walking, Photography","Christ Church, Mall Road Shimla, Dalai Lama Temple","Sangla Valley is a renowned valley located in himachal pradesh (North). Experiencing a cold climate, it offers a interesting scenic engaging atmosphere. It is well-suited for a low budget and holds a popularity score of 2.704 out of 5."
Kangra Fort,Himachal Pradesh,North,32.16667,76.25,historic majestic grand,historic majestic grand,Fort in Cold climate,October-March,"Heritage walk, Photography, Exploring","Khajjiar Meadows, Triund Trek, Spiti Valley Monasteries","Kangra Fort is a renowned fort located in himachal pradesh (North). Experiencing a cold climate, it offers a historic majestic grand atmosphere. It is well-suited for a medium budget and holds a popularity score of 2.68 out of 5."
Tea Gardens,Himachal Pradesh,North,32.11453,76.55681,interesting scenic engaging,interesting scenic engaging,Tea Plantation in Cold climate,October-March,"Sightseeing, Walking, Photography","Spiti Valley Monasteries, Khajjiar Meadows, Mall Road Shimla","Tea Gardens is a renowned tea plantation located in himachal pradesh (North). Experiencing a cold climate, it offers a interesting scenic engaging atmosphere. It is well-suited for a low budget and holds a popularity score of 2.766 out of 5."
Prashar Lake,Himachal Pradesh,North,31.71194,76.93273,interesting scenic engaging,interesting scenic engaging,Lake in Cold climate,October-March,"Sightseeing, Walking, Photography","Kasol Cafes, Spiti Valley Monasteries, Hadimba Temple","Prashar Lake is a renowned lake located in himachal pradesh (North). Experiencing a cold climate, it offers a interesting scenic engaging atmosphere. It is well-suited for a low budget and holds a popularity score of 2.764 out of 5."
Paragliding Site,Himachal Pradesh,North,31.1048,77.1734,interesting scenic engaging,interesting scenic engaging,Adventure Sport in Cold climate,October-March,"Sightseeing, Walking, Photography","Solang Valley, Christ Church, Triund Trek","Paragliding Site is a renowned adventure sport located in himachal pradesh (North). Experiencing a cold climate, it offers a interesting scenic engaging atmosphere. It is well-suited for a high budget and holds a popularity score of 2.884 out of 5."
Triund Trek,Himachal Pradesh,North,31.1048,77.1734,interesting scenic engaging,interesting scenic engaging,Trekking in Cold climate,October-March,"Sightseeing, Walking, Photography","Solang Valley, Mall Road Shimla, Dalai Lama Temple","Triund Trek is a renowned trekking located in himachal pradesh (North). Experiencing a cold climate, it offers a interesting scenic engaging atmosphere. It is well-suited for a low budget and holds a popularity score of 2.884 out of 5."
Manikaran Sahib,Himachal Pradesh,North,22.36666667,87.11666667,interesting scenic engaging,interesting scenic engaging,Gurudwara in Cold climate,October-March,"Sightseeing, Walking, Photography","Christ Church, Mall Road Shimla, Kasol Cafes","Manikaran Sahib is a renowned gurudwara located in himachal pradesh (North). Experiencing a cold climate, it offers a interesting scenic engaging atmosphere. It is well-suited for a low budget and holds a popularity score of 3.28 out of 5."
Hatu Peak,Himachal Pradesh,North,31.1048,77.1734,interesting scenic engaging,interesting scenic engaging,Viewpoint in Cold climate,October-March,"Sightseeing, Walking, Photography","Hadimba Temple, Rohtang Pass, Kasol Cafes","Hatu Peak is a renowned viewpoint located in himachal pradesh (North). Experiencing a cold climate, it offers a interesting scenic engaging atmosphere. It is well-suited for a low budget and holds a popularity score of 3.14 out of 5."
Barot Valley,Himachal Pradesh,North,30.80861,78.20596,interesting scenic engaging,interesting scenic engaging,Valley in Cold climate,October-March,"Sightseeing, Walking, Photography","Mall Road Shimla, Spiti Valley Monasteries, Solang Valley","Barot Valley is a renowned valley located in himachal pradesh (North). Experiencing a cold climate, it offers a interesting scenic engaging atmosphere. It is well-suited for a low budget and holds a popularity score of 3.3 out of 5."
Serolsar Lake,Himachal Pradesh,North,31.1048,77.1734,interesting scenic engaging,interesting scenic engaging,Lake in Cold climate,October-March,"Sightseeing, Walking, Photography","Spiti Valley Monasteries, Dalai Lama Temple, Mall Road Shimla","Serolsar Lake is a renowned lake located in himachal pradesh (North). Experiencing a cold climate, it offers a interesting scenic engaging atmosphere. It is well-suited for a low budget and holds a popularity score of 3.0 out of 5."
Kufri Fun World,Himachal Pradesh,North,31.1048,77.1734,interesting scenic engaging,interesting scenic engaging,Ski Resort in Cold climate,October-March,"Sightseeing, Walking, Photography","Dalai Lama Temple, Spiti Valley Monasteries, Khajjiar Meadows","Kufri Fun World is a renowned ski resort located in himachal pradesh (North). Experiencing a cold climate, it offers a interesting scenic engaging atmosphere. It is well-suited for a high budget and holds a popularity score of 2.32 out of 5."
Naini Lake,Uttarakhand,North,29.39743,79.44686,interesting scenic engaging,interesting scenic engaging,Lake in Cold climate,October-March,"Sightseeing, Walking, Photography","Valley of Flowers Trails, Laxman Jhula, Kedarnath Shrine","Naini Lake is a renowned lake located in uttarakhand (North). Experiencing a cold climate, it offers a interesting scenic engaging atmosphere. It is well-suited for a low budget and holds a popularity score of 2.524 out of 5."
Laxman Jhula,Uttarakhand,North,30.10778,78.29255,interesting scenic engaging,interesting scenic engaging,Suspension Bridge in Cold climate,October-March,"Sightseeing, Walking, Photography","Triveni Ghat, Parmarth Niketan, Badrinath Temple","Laxman Jhula is a renowned suspension bridge located in uttarakhand (North). Experiencing a cold climate, it offers a interesting scenic engaging atmosphere. It is well-suited for a low budget and holds a popularity score of 2.652 out of 5."
Har Ki Pauri,Uttarakhand,North,29.94791,78.16025,interesting scenic engaging,interesting scenic engaging,Ghat in Cold climate,October-March,"Sightseeing, Walking, Photography","Kedarnath Shrine, Valley of Flowers Trails, Parmarth Niketan","Har Ki Pauri is a renowned ghat located in uttarakhand (North). Experiencing a cold climate, it offers a interesting scenic engaging atmosphere. It is well-suited for a low budget and holds a popularity score of 2.7099999999999995 out of 5."
Robber's Cave,Uttarakhand,North,30.33,78.06,interesting scenic engaging,interesting scenic engaging,Cave in Cold climate,October-March,"Sightseeing, Walking, Photography","Har Ki Pauri, Badrinath Temple, Triveni Ghat","Robber's Cave is a renowned cave located in uttarakhand (North). Experiencing a cold climate, it offers a interesting scenic engaging atmosphere. It is well-suited for a low budget and holds a popularity score of 2.704 out of 5."
Kempty Falls,Uttarakhand,North,30.45498,78.07068,interesting scenic engaging,interesting scenic engaging,Waterfall in Cold climate,October-March,"Sightseeing, Walking, Photography","Har Ki Pauri, Valley of Flowers Trails, Parmarth Niketan","Kempty Falls is a renowned waterfall located in uttarakhand (North). Experiencing a cold climate, it offers a interesting scenic engaging atmosphere. It is well-suited for a low budget and holds a popularity score of 2.74 out of 5."
Auli Ski Resort,Uttarakhand,North,30.0668,79.0193,interesting scenic engaging,interesting scenic engaging,Ski Resort in Cold climate,October-March,"Sightseeing, Walking, Photography","Badrinath Temple, Laxman Jhula, Mussoorie Mall Road","Auli Ski Resort is a renowned ski resort located in uttarakhand (North). Experiencing a cold climate, it offers a interesting scenic engaging atmosphere. It is well-suited for a low budget and holds a popularity score of 2.704 out of 5."
Badrinath Temple,Uttarakhand,North,30.0668,79.0193,spiritual calm devoted peaceful,spiritual calm devoted peaceful,Temple in Cold climate,October-March,"Praying, Meditation, Sightseeing","Mussoorie Mall Road, Jim Corbett Safari, Kedarnath Shrine","Badrinath Temple is a renowned temple located in uttarakhand (North). Experiencing a cold climate, it offers a spiritual calm devoted peaceful atmosphere. It is well-suited for a low budget and holds a popularity score of 2.996 out of 5."
Binsar Wildlife Sanctuary,Uttarakhand,North,29.69223,79.49789,interesting scenic engaging,interesting scenic engaging,Wildlife Sanctuary in Cold climate,October-March,"Sightseeing, Walking, Photography","Badrinath Temple, Har Ki Pauri, Kedarnath Shrine","Binsar Wildlife Sanctuary is a renowned wildlife sanctuary located in uttarakhand (North). Experiencing a cold climate, it offers a interesting scenic engaging atmosphere. It is well-suited for a medium budget and holds a popularity score of 2.584 out of 5."
Chaubatia Gardens,Uttarakhand,North,29.64082,79.43229,interesting scenic engaging,interesting scenic engaging,Orchard in Cold climate,October-March,"Sightseeing, Walking, Photography","Har Ki Pauri, Badrinath Temple, Laxman Jhula","Chaubatia Gardens is a renowned orchard located in uttarakhand (North). Experiencing a cold climate, it offers a interesting scenic engaging atmosphere. It is well-suited for a low budget and holds a popularity score of 2.41 out of 5."
Jim Corbett National Park,Uttarakhand,North,30.0668,79.0193,wildlife adventurous green,wildlife adventurous green,National Park in Cold climate,October-March,"Sightseeing, Walking, Photography","Badrinath Temple, Mussoorie Mall Road, Naini Lake","Jim Corbett National Park is a renowned national park located in uttarakhand (North). Experiencing a cold climate, it offers a wildlife adventurous green atmosphere. It is well-suited for a medium budget and holds a popularity score of 2.76 out of 5."
Gangotri Temple,Uttarakhand,North,30.72986,78.44342,spiritual calm devoted peaceful,spiritual calm devoted peaceful,Temple in Cold climate,October-March,"Praying, Meditation, Sightseeing","Valley of Flowers Trails, Naini Lake, Badrinath Temple","Gangotri Temple is a renowned temple located in uttarakhand (North). Experiencing a cold climate, it offers a spiritual calm devoted peaceful atmosphere. It is well-suited for a low budget and holds a popularity score of 2.9 out of 5."
Tungnath Temple,Uttarakhand,North,30.0668,79.0193,spiritual calm devoted peaceful,spiritual calm devoted peaceful,Temple in Cold climate,October-March,"Praying, Meditation, Sightseeing","Valley of Flowers Trails, Naini Lake, Badrinath Temple","Tungnath Temple is a renowned temple located in uttarakhand (North). Experiencing a cold climate, it offers a spiritual calm devoted peaceful atmosphere. It is well-suited for a low budget and holds a popularity score of 2.916 out of 5."
Valley of Flowers,Uttarakhand,North,30.55543,79.56436,wildlife adventurous green,wildlife adventurous green,National Park in Cold climate,October-March,"Sightseeing, Walking, Photography","Parmarth Niketan, Jim Corbett Safari, Mussoorie Mall Road","Valley of Flowers is a renowned national park located in uttarakhand (North). Experiencing a cold climate, it offers a wildlife adventurous green atmosphere. It is well-suited for a medium budget and holds a popularity score of 2.834 out of 5."
Taj Mahal,Uttar Pradesh,North,27.18333,78.01667,interesting scenic engaging,interesting scenic engaging,Mausoleum in Cold climate,October-March,"Sightseeing, Walking, Photography","Jama Masjid, Dashashwamedh Ghat, Ram Janmabhoomi","Taj Mahal is a renowned mausoleum located in uttar pradesh (North). Experiencing a cold climate, it offers a interesting scenic engaging atmosphere. It is well-suited for a low budget and holds a popularity score of 3.66 out of 5."
Kashi Vishwanath Temple,Uttar Pradesh,North,25.31668,83.01041,spiritual calm devoted peaceful,spiritual calm devoted peaceful,Temple in Cold climate,October-March,"Praying, Meditation, Sightseeing","Bara Imambara, Agra Fort, Fatehpur Sikri","Kashi Vishwanath Temple is a renowned temple located in uttar pradesh (North). Experiencing a cold climate, it offers a spiritual calm devoted peaceful atmosphere. It is well-suited for a low budget and holds a popularity score of 3.18 out of 5."
Bara Imambara,Uttar Pradesh,North,26.83928,80.92313,interesting scenic engaging,interesting scenic engaging,Monument in Cold climate,October-March,"Sightseeing, Walking, Photography","Fatehpur Sikri, Mehtab Bagh, Dashashwamedh Ghat","Bara Imambara is a renowned monument located in uttar pradesh (North). Experiencing a cold climate, it offers a interesting scenic engaging atmosphere. It is well-suited for a low budget and holds a popularity score of 2.8200000000000003 out of 5."
Krishna Janmabhoomi,Uttar Pradesh,North,27.63333,77.58333,spiritual calm devoted peaceful,spiritual calm devoted peaceful,Temple in Cold climate,October-March,"Praying, Meditation, Sightseeing","Ram Janmabhoomi, Fatehpur Sikri, Mehtab Bagh","Krishna Janmabhoomi is a renowned temple located in uttar pradesh (North). Experiencing a cold climate, it offers a spiritual calm devoted peaceful atmosphere. It is well-suited for a low budget and holds a popularity score of 2.872 out of 5."
